path,bytes,sha256,disposition
evidence/1920x1080-dpr2-upgrade.png,3231151,7b49f7c2e6d0c19ad12e9bb49d12fecc1dbf408fd085fea3577595702a8701d0,local-history-only
evidence/1920x1080-dpr2-victory.png,4432904,307650c0b72423a64a944febc0c7bba9dd824d507953eb826ecb93735be22039,local-history-only
evidence/960x540-dpr1-build.png,407300,d58534f7f3c0cb154dd72da016f8f72fae6f471426ab281409d374e094c62763,local-history-only
evidence/960x540-dpr1-failure.png,237098,2fec490b4d29cfc75c05b34263d20a436860fb16e3e911e9ef64ed36500d2174,local-history-only
evidence/960x540-dpr1-pause.png,310466,61df978c3e15bc2f8c8ae09b7c1d46276f58fad88f5dbac71e4f5596277070ce,local-history-only
evidence/960x540-dpr1-upgrade.png,323908,df2b8252b88cebb1ce171499eb32616cd3cefe2dc127cfe9463609e463d98bfc,local-history-only
evidence/960x540-dpr1-victory.png,425824,a7cc770bc51c20076bab6fd62f08b9bade3337f2e9ab5dd302296b845e64fc35,local-history-only
evidence/960x540-dpr1.5-build.png,790550,10d9eba7e56d6a416f908b509716cf6e8b4461a146543b1f974382edc1bd9f06,local-history-only
evidence/960x540-dpr1.5-failure.png,479436,b139f7551109ae2bc9eeaeee10a695a2917b77bf3bb481287380df70c88a599b,local-history-only
evidence/960x540-dpr1.5-pause.png,610331,b8cf3fe9e24df22bb592a965c7195781df9b3906c3eb9889491d396a01f61a03,local-history-only
evidence/960x540-dpr1.5-upgrade.png,690849,4301ace723bf51ea39792b240a28689624cfd53b087e90454165354469003584,local-history-only
evidence/960x540-dpr1.5-victory.png,835379,1e692480a54cb65072daaafc108e62baac3c0b6af897460599b116aa60b77104,local-history-only
evidence/960x540-dpr2-build.png,1330012,bd6bd8b1b41730b54d694505a5f303b832e97237a867e71385aafbb94fdb0634,local-history-only
evidence/960x540-dpr2-failure.png,756520,7689589c5350c6ee5507f0fa00baa99d22c0d5f07233ddbd1478f32e3d2be62e,local-history-only
evidence/960x540-dpr2-pause.png,1019961,6acd3d0198e22af5614dd2407dd24ed186de427a78d1c8442336b575c6296575,local-history-only
evidence/960x540-dpr2-upgrade.png,1087993,590d2a425998b335fbf418faeec3fc276020099d4f12db1ced32563d83a96ca7,local-history-only
evidence/960x540-dpr2-victory.png,1394676,01ad2376ebc89cb95a60aaef51a373c0e210beec8747d3e54f61813b8fdcab43,local-history-only
evidence/baseline-natural-hud.png,418447,4e03688b58873e28c7ff73677b1a30107ef8979138e478347fd0e76a9997068c,local-history-only
evidence/baseline-title.png,421185,4abaed2032bc6f59550c1ce4c791bfd6e50c7fb6a1d76f0be6e8de35879fef69,local-history-only
evidence/build-dense-rifle-scrolled.png,397485,5659e424d26add55cab59a917eb616d2f072ac33a40ff1be866eceedfd988dfd,local-history-only
evidence/build-initial.png,396009,ee06003e61dc2efd7ce774fa57f777012d23cb6047994c31adf806e3b46ac415,local-history-only
evidence/cadence/build-dense-rifle-scrolled.png,527562,44c04abf7a7b88990e5864b250cc62b74d943edbf0222a41b4ea4cb6db298409,local-history-only
evidence/cadence/cadence-check.json,36009,80854820116a35723819c3634f068f1577717dc5639bdde23e7e1eae2d6ce657,included
evidence/cadence/diff-check.txt,574,454be2723b06b6ba4bfea36cca05d9eecd91ea9fd95fad4fc350b5d8f5a81149,local-history-only
evidence/cadence/failure-result-interaction.png,455116,d0e8d590ef56d9d366210dd1ee7c2f945bcd5978c933027defeb01d56a7a89f2,local-history-only
evidence/cadence/fallback-build-detached-visible.png,180056,993c2f562cd914f1368ad6b1078c567dccb1c46f96e32a9df006e8159dcf84b6,local-history-only
evidence/cadence/fallback-dom-pause.png,161080,b758840c07488cdfcad2ff9e9c9d5ff4f9c82552cfc45db91cad2f5c614fe514,local-history-only
evidence/cadence/fallback-dom-victory.png,142074,07c3195adf8bf050a75985d98b3d7cbb1f4d60188d2904026c7e1977da2d1720,local-history-only
evidence/cadence/fallback-missing-material.png,262588,cb85f392b20c91e923b1d2829246289f9557a0103e8b561c38948230c06400cb,local-history-only
evidence/cadence/fallback-phaser-upgrade.png,119439,ade08627b0c4fcd7017693b05106207dbf283f5269438ed56efba10d34aa8998,local-history-only
